station_code,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,dominant_topic,purity,poi_count,longitude,latitude,label,supplemented_from,supplemented_station_name,supplemented_via_compound
13049,0.616691367096529,0.0229002989476939,0.0228727976408693,0.0228553357518991,0.314680200563009,Topic_1,0.616691367096529,5,103.820410113265,1.30261961551234,Education & Professional Services,,,
13051,0.383876291309201,0.00250395192838666,0.00250317359068315,0.0640477917492225,0.547068791422506,Topic_5,0.547068791422506,51,103.826413054145,1.29338285232967,Retail & Personal Care,,,
13059,0.322845196728322,0.205848304449883,0.295242084887199,0.0197972116611961,0.1562672022734,Topic_1,0.322845196728322,61,103.826565977478,1.29324888375406,Education & Professional Services,,,
13062,0.00327375324604799,0.00326176036856924,0.265812874228377,0.00325750392425758,0.724394108232748,Topic_5,0.724394108232748,39,103.828484897627,1.2948266430765,Retail & Personal Care,,,
13063,0.050072615380854,0.446765704562469,0.21218922054344,0.00206483510182581,0.288907624411412,Topic_2,0.446765704562469,62,103.829613633174,1.29546116454765,Dining & Hospitality,,,
13069,0.0149268949765323,0.327564093888977,0.0149310941397656,0.0149216494013521,0.627656267593373,Topic_5,0.627656267593373,8,103.82880023684,1.29484100497727,Retail & Personal Care,,,
13071,0.319600551349343,0.0052376396424981,0.0052364131052976,0.00524097942672245,0.664684416476139,Topic_5,0.664684416476139,24,103.833137502916,1.29636345298488,Retail & Personal Care,,,
13081,0.00467117201239261,0.00467697224028499,0.00468799028975724,0.00466632674640697,0.981297538711158,Topic_5,0.981297538711158,27,103.836292479925,1.29591860775844,Retail & Personal Care,,,
13089,0.115621544598206,0.0077535641205518,0.0759329240249349,0.0077543899017411,0.792937577354566,Topic_5,0.792937577354566,16,103.836043745798,1.29573625914882,Retail & Personal Care,,,
13091,0.0537176504802492,0.44407462706106,0.146631084916838,0.00229044518460199,0.353286192357252,Topic_2,0.44407462706106,56,103.839389188242,1.29596258509199,Dining & Hospitality,,,
13099,0.00436527110406266,0.239027541448486,0.00435533402337431,0.172540910094746,0.579710943329331,Topic_5,0.579710943329331,29,103.83957425631,1.2957741783155,Retail & Personal Care,,,
13101,0.281960684694353,0.296871439961304,0.235206962588685,0.038679826646439,0.147281086109219,Topic_2,0.296871439961304,129,103.842341695176,1.29408330071943,Dining & Hospitality,,,
13109,0.369908390655904,0.320261695842543,0.302370768492281,0.00372948392057683,0.00372966108869593,Topic_1,0.369908390655904,34,103.842707022651,1.29351019977387,Education & Professional Services,,,
